id,fact
1,"The Vedas are the oldest sacred texts of Hinduism and are considered Shruti, meaning 'that which is heard'."
2,The Bhagavad Gita is a 700-verse scripture that forms part of the Mahabharata.
3,"Varanasi, also known as Kashi, is one of the world's oldest continuously inhabited cities and is considered sacred in Hinduism."
4,"Diwali, the Festival of Lights, celebrates the victory of light over darkness and good over evil."
5,The Ramayana narrates the life of Lord Rama and is one of the two major Sanskrit epics of Hinduism.
6,The Mahabharata is one of the longest epic poems in the world and contains the Bhagavad Gita.
7,The sacred syllable 'Om' is considered the primordial sound and a symbol of ultimate reality in Hindu philosophy.
8,The Ganga (Ganges) River is revered as a goddess and is considered one of the holiest rivers in Hinduism.
9,The concept of karma in Hinduism teaches that a person's actions influence their future experiences and rebirths.
10,Yoga originated in ancient India and is deeply rooted in Hindu philosophical and spiritual traditions.
